"","fmin","fminB","CFI","RMSEA","FC.Size","PercentMissing","PatternNumber","NumMissVar","Strength"
"1",1e-04,5.5509,1,3e-04,1,"0%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"2",0.1071,5.1431,0.9792,0.0445,0.9,"0%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"3",0.3304,4.8812,0.9323,0.0782,0.8,"0%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"4",0.6033,4.6962,0.8716,0.1057,0.7,"0%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"5",0.8991,4.5597,0.8028,0.129,0.6,"0%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"6",1.2052,4.4573,0.7296,0.1494,0.5,"0%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"7",1.5146,4.3807,0.6543,0.1675,0.4,"0%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"8",1.7912,4.3251,0.5859,0.1821,0.3,"0%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"9",1.9814,4.2872,0.5379,0.1915,0.2,"0%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"10",1e-04,5.3147,1,5e-04,1,"20%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"11",0.0998,4.9223,0.9797,0.043,0.9,"20%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"12",0.3089,4.6669,0.9338,0.0756,0.8,"20%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"13",0.5663,4.4866,0.8738,0.1024,0.7,"20%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"14",0.844,4.353,0.8061,0.125,0.6,"20%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"15",1.1309,4.2515,0.734,0.1447,0.5,"20%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"16",1.4046,4.176,0.6637,0.1613,0.4,"20%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"17",1.6339,4.1213,0.6036,0.1739,0.3,"20%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"18",1.7972,4.084,0.5599,0.1824,0.2,"20%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"19",1e-04,4.9622,1,4e-04,1,"50%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"20",0.0884,4.5914,0.9808,0.0405,0.9,"50%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"21",0.2752,4.3477,0.9367,0.0714,0.8,"50%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"22",0.5037,4.1713,0.8793,0.0966,0.7,"50%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"23",0.7478,4.041,0.8149,0.1177,0.6,"50%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"24",0.9934,3.9434,0.7481,0.1356,0.5,"50%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"25",1.2111,3.8687,0.687,0.1498,0.4,"50%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"26",1.3906,3.816,0.6356,0.1605,0.3,"50%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"27",1.5184,3.7789,0.5982,0.1677,0.2,"50%"," Minimum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"28",1e-04,5.5509,1,3e-04,1,"0%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"29",0.1071,5.1431,0.9792,0.0445,0.9,"0%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"30",0.3304,4.8812,0.9323,0.0782,0.8,"0%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"31",0.6033,4.6962,0.8716,0.1057,0.7,"0%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"32",0.8991,4.5597,0.8028,0.129,0.6,"0%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"33",1.2052,4.4573,0.7296,0.1494,0.5,"0%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"34",1.5146,4.3807,0.6543,0.1675,0.4,"0%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"35",1.7912,4.3251,0.5859,0.1821,0.3,"0%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"36",1.9814,4.2872,0.5379,0.1915,0.2,"0%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"37",1e-04,5.3139,1,4e-04,1,"20%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"38",0.1001,4.92,0.9797,0.043,0.9,"20%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"39",0.3096,4.6649,0.9337,0.0757,0.8,"20%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"40",0.5677,4.4841,0.8734,0.1025,0.7,"20%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"41",0.8449,4.349,0.8057,0.1251,0.6,"20%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"42",1.1327,4.248,0.7334,0.1448,0.5,"20%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"43",1.4056,4.1721,0.6631,0.1613,0.4,"20%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"44",1.6323,4.1172,0.6035,0.1739,0.3,"20%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"45",1.7939,4.0796,0.5603,0.1823,0.2,"20%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"46",1e-04,4.9605,1,0,1,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"47",0.0888,4.5886,0.9807,0.0405,0.9,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"48",0.2764,4.3442,0.9364,0.0715,0.8,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"49",0.5062,4.1674,0.8785,0.0968,0.7,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"50",0.7498,4.036,0.8142,0.1178,0.6,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
"51",0.9953,3.9377,0.7472,0.1358,0.5,"50%","Maximum Missing Pattern"," Two Variables with Missing","  Zero Strength (MCAR)"
