"Fmin","Fmin_B","CFI","RMSEA","Size_Of_CR","FC","Number_Of_CR","Location_Of_Misfit","Percent_Missing","Number_of_Missing_Variables","Missing_Mechanism"
0,4.2583,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0.0246,4.3455,0.9943,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0.1029,4.5093,0.9772,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0.2408,4.795,0.9498,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0.3906,5.3477,0.927,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
1e-04,4.3807,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0.0252,4.4668,0.9944,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0.1062,4.6297,0.9771,0.0448,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0.254,4.9148,0.9483,0.0692,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0.4234,5.4669,0.9226,0.0894,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0,4.8812,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0.0282,4.961,0.9943,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0.1207,5.1191,0.9764,0.0477,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0.3063,5.4003,0.9433,0.076,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
0.5851,5.9493,0.9017,0.1051,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%"," Two Variables with Missing","  MCAR"
1e-04,4.0559,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0.0246,4.1437,0.9941,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0.1029,4.3074,0.9761,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0.2408,4.5932,0.9476,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0.3906,5.1458,0.9241,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
1e-04,4.1761,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0.0252,4.2626,0.9941,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0.1062,4.4262,0.976,0.0447,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0.2538,4.7104,0.9461,0.0692,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0.4229,5.2627,0.9197,0.0893,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0,4.6675,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0.0281,4.7464,0.9941,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0.1203,4.9046,0.9755,0.0476,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0.3052,5.1865,0.9412,0.0759,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0.5809,5.7352,0.8987,0.1047,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","20%"," Two Variables with Missing","  MCAR"
0,3.7524,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0.0246,3.8398,0.9936,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0.1029,4.0035,0.9743,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0.2408,4.2893,0.9439,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0.3906,4.8419,0.9193,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
1e-04,3.8689,1,3e-04,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0.0252,3.9562,0.9936,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0.1061,4.1204,0.9743,0.0447,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0.2535,4.4033,0.9424,0.0691,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0.4221,4.956,0.9148,0.0892,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0,4.3459,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0.028,4.4256,0.9937,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0.1198,4.5835,0.9739,0.0475,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0.3035,4.8658,0.9376,0.0757,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0.5748,5.415,0.8939,0.1041,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","50%"," Two Variables with Missing","  MCAR"
0,4.2583,1,0,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0.0246,4.3455,0.9943,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0.1029,4.5093,0.9772,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0.2408,4.795,0.9498,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0.3906,5.3477,0.927,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
1e-04,4.3807,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0.0252,4.4668,0.9944,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0.1062,4.6297,0.9771,0.0448,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0.254,4.9148,0.9483,0.0692,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0.4234,5.4669,0.9226,0.0894,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0,4.8812,1,0,0,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0.0282,4.961,0.9943,0.023,0.1,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0.1207,5.1191,0.9764,0.0477,0.2,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0.3063,5.4003,0.9433,0.076,0.3,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
0.5851,5.9493,0.9017,0.1051,0.4,"Factor Correlation = 0.8","One Correlated Residual","Different Factor","0%","Four Variables with Missing","  MCAR"
1e-04,3.8885,1,1e-04,0,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
0.0246,3.9749,0.9938,0.0215,0.1,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
0.1029,4.1387,0.9752,0.044,0.2,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
0.2408,4.4244,0.9456,0.0674,0.3,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
0.3906,4.9772,0.9215,0.0858,0.4,"Factor Correlation = 0","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
1e-04,4.0035,1,0,0,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
0.0252,4.0899,0.9938,0.0218,0.1,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
0.1061,4.2531,0.9751,0.0447,0.2,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
0.2533,4.5374,0.9442,0.0691,0.3,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
0.4217,5.0906,0.9172,0.0892,0.4,"Factor Correlation = 0.4","One Correlated Residual","Different Factor","20%","Four Variables with Missing","  MCAR"
