"RMSEA","CFI","Number_Of_CR","Missing_Mechanism","FC"
0,1,"One Correlated Residual","  MCAR","Factor Correlation = 0.8"
0.0231,0.9943,"One Correlated Residual","  MCAR","Factor Correlation = 0.8"
0.0477,0.9764,"One Correlated Residual","  MCAR","Factor Correlation = 0.8"
0.0761,0.9431,"One Correlated Residual","  MCAR","Factor Correlation = 0.8"
0.1053,0.9013,"One Correlated Residual","  MCAR","Factor Correlation = 0.8"
0,1,"One Correlated Residual"," Weak MAR","Factor Correlation = 0.8"
0.0231,0.9943,"One Correlated Residual"," Weak MAR","Factor Correlation = 0.8"
0.0477,0.9764,"One Correlated Residual"," Weak MAR","Factor Correlation = 0.8"
0.0761,0.9431,"One Correlated Residual"," Weak MAR","Factor Correlation = 0.8"
0.1053,0.9013,"One Correlated Residual"," Weak MAR","Factor Correlation = 0.8"
0,1,"One Correlated Residual","Strong MAR","Factor Correlation = 0.8"
0.0231,0.9943,"One Correlated Residual","Strong MAR","Factor Correlation = 0.8"
0.0477,0.9764,"One Correlated Residual","Strong MAR","Factor Correlation = 0.8"
0.0761,0.9431,"One Correlated Residual","Strong MAR","Factor Correlation = 0.8"
0.1053,0.9013,"One Correlated Residual","Strong MAR","Factor Correlation = 0.8"
0,1,"Two Correlated Residuals","  MCAR","Factor Correlation = 0.8"
0.0337,0.988,"Two Correlated Residuals","  MCAR","Factor Correlation = 0.8"
0.0706,0.9507,"Two Correlated Residuals","  MCAR","Factor Correlation = 0.8"
0.1148,0.8822,"Two Correlated Residuals","  MCAR","Factor Correlation = 0.8"
0.1749,0.7694,"Two Correlated Residuals","  MCAR","Factor Correlation = 0.8"
0,1,"Two Correlated Residuals"," Weak MAR","Factor Correlation = 0.8"
0.0337,0.988,"Two Correlated Residuals"," Weak MAR","Factor Correlation = 0.8"
0.0706,0.9507,"Two Correlated Residuals"," Weak MAR","Factor Correlation = 0.8"
0.1148,0.8822,"Two Correlated Residuals"," Weak MAR","Factor Correlation = 0.8"
0.1749,0.7694,"Two Correlated Residuals"," Weak MAR","Factor Correlation = 0.8"
0,1,"Two Correlated Residuals","Strong MAR","Factor Correlation = 0.8"
0.0337,0.988,"Two Correlated Residuals","Strong MAR","Factor Correlation = 0.8"
0.0706,0.9507,"Two Correlated Residuals","Strong MAR","Factor Correlation = 0.8"
0.1148,0.8822,"Two Correlated Residuals","Strong MAR","Factor Correlation = 0.8"
0.1749,0.7694,"Two Correlated Residuals","Strong MAR","Factor Correlation = 0.8"
